step_no,run_id,w_m,c_m,cf_m,cf_d,kf_m,kf_d,equity
18,3kJuSc31qD09eLz,1621.0346941995085,72.4618554674089,7854.594201803207,716.5744743943214,265.58586595440283,161.98029148578644,3064.88
19,3kJuSc31qD09eLz,1574.1128862357582,47.994142070412636,7890.64335590601,693.24731759727,255.5269378744997,157.26052424311638,3082.23
20,3kJuSc31qD09eLz,1552.3403465899173,56.122832626104355,7880.956558085978,681.6422801464796,246.325804206077,153.74189671874046,3099.64
21,3kJuSc31qD09eLz,1504.1819183061598,50.2271606400609,7902.097984947264,663.5077012181282,238.72349564614706,134.91819256544113,3103.2
22,3kJuSc31qD09eLz,1517.1125397684518,46.86781090311706,7885.374461829662,671.0368460789323,232.3025015317835,118.41434809565544,3107.79
23,3kJuSc31qD09eLz,1495.1506476077484,45.28347128350288,7881.764787960798,656.8029277324677,227.20482207741588,115.86190582811832,3123.26
24,3kJuSc31qD09eLz,1524.535126328934,41.16690779291093,7835.343244969845,647.0304800346494,221.85526200616732,114.65134979784489,3138.78
25,3kJuSc31qD09eLz,1503.61878981255,42.09447758644819,7842.174562171102,645.126635953784,216.92018187080976,114.31361655890942,3154.63
26,3kJuSc31qD09eLz,1504.3649142981449,35.68693211115897,7836.530260227621,649.1479935571551,213.02789108129218,93.90140978991985,3153.44
27,3kJuSc31qD09eLz,1532.4206201601774,30.934461225988343,7805.856031425297,617.946880236268,208.85890715708956,93.51161806285381,3133.39
28,3kJuSc31qD09eLz,1528.7438710532151,35.41209919936955,7795.54453612864,620.3935845792294,205.9982158653438,93.85244616866112,3148.55
29,3kJuSc31qD09eLz,1562.5539582520723,28.712962165940553,7760.641144853085,626.8309012576938,202.7248368760338,78.63006696105003,3150.83
30,3kJuSc31qD09eLz,1586.5784296935308,26.114344681147486,7729.768464867026,632.304838322103,200.4670622316189,52.51804791390896,3141.89
31,3kJuSc31qD09eLz,1648.1040906030685,27.36734179407358,7664.960419729352,644.124707955867,200.0065351021476,51.662399262189865,3155.35
32,3kJuSc31qD09eLz,1659.7348156729713,29.733417715877295,7639.490043416619,644.6106490679085,197.87272745510563,51.123562321066856,3168.9
33,3kJuSc31qD09eLz,1703.6339987284737,30.308074159547687,7596.941667661071,659.5275123082101,196.6928764297627,50.9376345872879,3182.89
34,3kJuSc31qD09eLz,1745.8379625128582,25.817553872300778,7561.97442865558,636.6935609318316,194.62895579310134,51.10730317980051,3159.54
35,3kJuSc31qD09eLz,1772.7554525133455,23.706600410863757,7541.363514978439,609.2738924436271,194.56677216524258,44.14268483966589,3121.02
36,3kJuSc31qD09eLz,1841.3771499211434,21.66049910671427,7471.41006580973,587.9400799162686,192.6697990843095,44.30342639237642,3105.13
37,3kJuSc31qD09eLz,1874.5580347942305,26.04059924231842,7440.539337459952,610.4914145953953,194.24497865280136,35.760293669998646,3110.87
38,3kJuSc31qD09eLz,1916.8557101126062,21.08407425414771,7417.587421119213,612.827883452177,190.60992385307327,35.47049107402563,3102.16
39,3kJuSc31qD09eLz,2014.8699194067158,19.85183234233409,7329.418977608904,539.7168150655925,191.22521961247548,29.9826303049922,3014.33
40,3kJuSc31qD09eLz,2061.401927595027,19.773594729136676,7316.833155751228,495.1749149598181,189.80222073709592,29.44483907520771,2936.81
41,3kJuSc31qD09eLz,2133.744144179982,23.76511394092813,7254.6938235498965,532.3575872033834,198.05480511346832,29.009045511484146,2951.11
42,3kJuSc31qD09eLz,2178.8318211957812,26.078512319829315,7204.547348424792,514.3212785162032,203.02893936494365,28.288930125534534,2930.12
43,3kJuSc31qD09eLz,2293.401052193716,23.21260496112518,7099.507682703435,509.3622810523957,204.54312561405823,27.66660951822996,2916.36
44,3kJuSc31qD09eLz,2351.56797537941,35.443039004225284,7066.690396353602,467.46471162699163,200.51821646327153,27.454697005450726,2840.7
45,3kJuSc31qD09eLz,2448.4807895389386,15.23527154896874,7015.0992496833205,505.12319820187986,197.8923062295653,27.307644352316856,2855.72
46,3kJuSc31qD09eLz,2514.6001699512854,24.007178840431152,6934.502413779497,505.839366260916,213.0117579223588,27.482656337320805,2847.2
47,3kJuSc31qD09eLz,2624.0828932924196,21.719765929039568,6877.1046478152275,549.8420516252518,199.3330013724044,26.823021486401558,2854.42
48,3kJuSc31qD09eLz,2688.4073011283763,27.648617197293788,6804.060776073486,551.3550044819713,217.00805714400485,26.8249741345644,2841.06
49,3kJuSc31qD09eLz,2776.471383153228,31.634543902240694,6744.1351534463465,558.1397859249264,224.85396201955155,29.68770096823573,2810.73
50,3kJuSc31qD09eLz,2867.1882303910097,36.195608894806355,6689.167974293232,579.4472182374448,209.44267051527277,31.381767615675926,2808.83
51,3kJuSc31qD09eLz,2965.68988145981,46.20637283276301,6629.467973709106,645.0032847039402,227.24134534434415,32.42942162230611,2808.83
52,3kJuSc31qD09eLz,3128.1066361088306,50.73400157515425,6543.865138918161,705.9909956268966,194.8013152278727,48.827329736202955,2837.31
53,3kJuSc31qD09eLz,3225.5126598222996,49.88928959472105,6458.718256950378,723.8961546998471,184.60032992181368,49.5554081723094,2854.73
54,3kJuSc31qD09eLz,3316.4248167591286,47.33412033400964,6425.378940526396,662.1277525797486,189.83889359037858,56.15409783646464,2739.31
55,3kJuSc31qD09eLz,3424.6461551479297,62.72226552804932,6303.182977817953,662.9136458858848,231.05746740906034,49.83683159202337,2691.14
56,3kJuSc31qD09eLz,3600.143308426137,61.5441099088639,6230.041901066899,650.7940898798406,180.38288806925993,93.10397499799728,2671.79
57,3kJuSc31qD09eLz,3753.6883385601395,80.73531307443045,6117.190027937293,645.6942870169878,202.20832810970023,102.58678162097931,2594.46
58,3kJuSc31qD09eLz,3973.6117404715624,103.03972901566885,5946.8497753590345,695.0117319840938,228.74026489630342,139.81299053505063,2582.58
59,3kJuSc31qD09eLz,4198.13686814683,113.88116579316556,5857.945910707116,646.7670944137499,191.41704535181634,178.45046340301633,2463.84
60,3kJuSc31qD09eLz,4410.136435177876,126.4629586765077,5728.302430812269,638.8845154261217,188.11957014584914,218.0140151195228,2403.88
61,3kJuSc31qD09eLz,4593.253990693018,123.41133933607489,5687.817249149084,741.3128249775618,144.28877985989675,217.92561357840896,2410.47
62,3kJuSc31qD09eLz,4668.520579617936,134.15505858429242,5540.907126002014,804.2590643735602,239.62782271252945,135.31082778424025,2356.36
63,3kJuSc31qD09eLz,4920.209422907443,143.83836118597537,5379.546230703592,837.5964379096404,218.6343215405941,149.01795175485313,2324.39
