step_no,step_id,kf_id,liquidity,price,equity,debt,profit,production,sales,inventory,queue,expected_demand,intresses,loans,labour_demand,staff,first_step,lmbda,wage_bill
39,677980430,K_0,6.0,1.76184,6.0,0.0,-0.0186578,0.0,0.0,0.914233,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
40,931835704,K_0,6.0,1.76184,6.0,0.0,-0.0182847,0.0,0.0,0.895949,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
41,332379545,K_0,6.0,1.76184,6.0,0.0,-0.017919,0.0,0.0,0.87803,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
42,155638644,K_0,6.0,1.76184,6.0,0.0,-0.0175606,0.0,0.0,0.860469,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
43,97228715,K_0,6.0,1.76184,6.0,0.0,-0.0172094,0.0,0.0,0.84326,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
44,363631071,K_0,6.0,1.76184,6.0,0.0,-0.0168652,0.0,0.0,0.826395,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
45,18991764,K_0,6.0,1.76184,6.0,0.0,-0.0165279,0.0,0.0,0.809867,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
46,785423639,K_0,6.0,1.76184,6.0,0.0,-0.0161973,0.0,0.0,0.793669,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
47,574125414,K_0,6.0,1.76184,6.0,0.0,-0.0158734,0.0,0.0,0.777796,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
48,429680062,K_0,6.0,1.76184,6.0,0.0,-0.0155559,0.0,0.0,0.76224,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
49,623788238,K_0,6.0,1.76184,6.0,0.0,-0.0152448,0.0,0.0,0.746995,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
50,309876236,K_0,6.0,1.76184,6.0,0.0,-0.0149399,0.0,0.0,0.732055,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
51,229340129,K_0,6.0,1.76184,6.0,0.0,-0.0146411,0.0,0.0,0.717414,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
52,240365119,K_0,6.0,1.76184,6.0,0.0,-0.0143483,0.0,0.0,0.703066,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
53,242130218,K_0,6.0,1.76184,6.0,0.0,-0.0140613,0.0,0.0,0.689005,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
54,951604976,K_0,6.0,1.76184,6.0,0.0,-0.0137801,0.0,0.0,0.675225,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
55,130676458,K_0,6.0,1.76184,6.0,0.0,-0.0135045,0.0,0.0,0.66172,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
56,704635552,K_0,6.0,1.76184,6.0,0.0,-0.0132344,0.0,0.0,0.648486,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
57,729429611,K_0,6.0,1.76184,6.0,0.0,-0.0129697,0.0,0.0,0.635516,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
58,551868432,K_0,6.0,1.76184,6.0,0.0,-0.0127103,0.0,0.0,0.622806,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
59,970231795,K_0,6.0,1.76184,6.0,0.0,-0.0124561,0.0,0.0,0.61035,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
60,588065780,K_0,6.0,1.76184,6.0,0.0,-0.012207,0.0,0.0,0.598143,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
61,669215253,K_0,6.0,1.76184,6.0,0.0,-0.0119629,0.0,0.0,0.58618,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
62,456890914,K_0,6.0,1.76184,6.0,0.0,-0.0117236,0.0,0.0,0.574456,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
63,247472139,K_0,6.0,1.76184,6.0,0.0,-0.0114891,0.0,0.0,0.562967,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
