run_id,step_no,qty,amount,bought_amount_w,bought_amount_c
gm7OSjRfMnJoveM,1,203.125,487.50001937150955,450.00001788139343,37.50000149011612
gm7OSjRfMnJoveM,2,223.77005302906036,515.8016910039877,483.7238711495047,32.07780422270298
gm7OSjRfMnJoveM,3,240.28950421512127,557.8252375187601,523.4115505497903,34.41369134839624
gm7OSjRfMnJoveM,4,238.49961012601852,560.5798687182075,527.6413568244316,32.93850434527849
gm7OSjRfMnJoveM,5,235.11110892891884,566.9686236099666,537.4037199163722,29.56490084156394
gm7OSjRfMnJoveM,6,230.51845997571945,566.751039901368,538.3715588680934,28.379492975771427
gm7OSjRfMnJoveM,7,229.5393471121788,574.7036238098963,547.4277478007716,27.27587828040123
gm7OSjRfMnJoveM,8,229.14067074656487,587.259432477338,562.0603076070547,25.199116475880146
gm7OSjRfMnJoveM,9,227.62109269201756,593.3536943130866,568.9014992378652,24.452196719532367
gm7OSjRfMnJoveM,10,227.32301725447178,603.634593506661,580.3084281925112,23.32616594864521
gm7OSjRfMnJoveM,11,223.33035930991173,604.0916475772274,581.7369219835382,22.354729327431414
gm7OSjRfMnJoveM,12,217.3173964470625,597.2144371793435,575.9438464688137,21.27058809978189
gm7OSjRfMnJoveM,13,217.3827348947525,609.4791284072153,589.0351386349648,20.443992987740785
gm7OSjRfMnJoveM,14,212.5194759555161,605.8290293262046,584.5932500790805,21.235779835144058
gm7OSjRfMnJoveM,15,208.15314084291458,606.5144027478615,585.2532251589,21.261179690249264
gm7OSjRfMnJoveM,16,207.20259691774845,611.6863861493774,590.5796626217198,21.106723916484043
gm7OSjRfMnJoveM,17,204.2689727805555,614.7883800687566,593.8738546362147,20.91452636476606
gm7OSjRfMnJoveM,18,201.07578271627426,616.8960617308709,595.2817604654119,21.61429661232978
gm7OSjRfMnJoveM,19,194.6047658547759,606.6646193306768,584.2719696126878,22.392648533917964
gm7OSjRfMnJoveM,20,188.7720993682742,596.0819911964454,572.1078469194472,23.97414341941476
gm7OSjRfMnJoveM,21,188.65295326709747,607.740832522552,583.7715787626803,23.969251576665556
gm7OSjRfMnJoveM,22,181.79763251543045,597.8282253439393,572.1794818211347,25.64874680484354
gm7OSjRfMnJoveM,23,178.64697371050715,594.5624965064328,567.4685181924142,27.093976117255806
gm7OSjRfMnJoveM,24,174.26224416866899,587.2485203304434,559.0597326454008,28.18878807114379
gm7OSjRfMnJoveM,25,171.4995730612427,587.3874184057294,558.1724108774215,29.21500670172827
gm7OSjRfMnJoveM,26,167.69539047591388,582.1280105194529,552.2600560430437,29.867955289693782
gm7OSjRfMnJoveM,27,163.07171636261046,574.2046645853322,542.5027462076396,31.701921437153942
gm7OSjRfMnJoveM,28,157.5939691644162,561.6232932993498,528.7956455238163,32.82764758609119
gm7OSjRfMnJoveM,29,153.81209288537502,556.626784949351,522.503969309415,34.12281742216874
gm7OSjRfMnJoveM,30,151.04572072811425,552.1025948956091,517.2439509225369,34.858646389890055
gm7OSjRfMnJoveM,31,145.07403083145618,536.4975759974465,499.9009980474948,36.59657813254307
gm7OSjRfMnJoveM,32,137.0354591626674,514.2856084916732,477.37038977170596,36.915220002389106
gm7OSjRfMnJoveM,33,133.01309796702117,504.3402629547901,467.529635566927,36.810625120502664
gm7OSjRfMnJoveM,34,125.64743182063103,482.1699846881426,445.01741464735824,37.15257049002685
gm7OSjRfMnJoveM,35,122.69021445070393,475.9407645506375,437.37859209626185,38.56217217836456
gm7OSjRfMnJoveM,36,118.5948261609301,466.26993468765426,427.3619081459692,38.908027200381184
gm7OSjRfMnJoveM,37,114.1750572252422,451.44832845746515,413.42726066109026,38.02106829021068
gm7OSjRfMnJoveM,38,108.49455862096511,432.57190841336865,393.7307107457127,38.841200444760034
gm7OSjRfMnJoveM,39,103.66552737355232,417.4315829472908,379.19893561179197,38.23264893696614
gm7OSjRfMnJoveM,40,101.44548618444242,411.3058310922436,372.07654415209254,39.22928830333694
gm7OSjRfMnJoveM,41,96.89047347191081,395.7683671683216,356.7439128635451,39.0244531944918
gm7OSjRfMnJoveM,42,93.96882303951861,386.4956759905561,346.97998117434327,39.515692912158556
gm7OSjRfMnJoveM,43,91.86337044532411,382.15004877547057,342.545404939141,39.60464300044259
