run_id,step_no,w_budget,w_spent,c_budget,c_spent
cVFeVe5uQ8K1yZq,1,2400.000035762787,2357.4733587503433,200.00000298023224,196.80000293254852
cVFeVe5uQ8K1yZq,2,2333.1263635754585,2178.9212526902556,238.34773063659668,216.8614804148674
cVFeVe5uQ8K1yZq,3,1954.9144432246685,1943.2341365143657,243.5394423007965,243.07144230604172
cVFeVe5uQ8K1yZq,4,1533.7882496714592,1531.2041749954224,232.7714130571112,232.7714130571112
cVFeVe5uQ8K1yZq,5,1489.4006555080414,1475.0742805749178,240.81622721627355,239.25226690247655
cVFeVe5uQ8K1yZq,6,1511.71260663867,1505.6446805000305,241.01109066605568,237.2776350080967
cVFeVe5uQ8K1yZq,7,1379.4323060587049,1368.3332136496902,231.5286275446415,229.6490583717823
cVFeVe5uQ8K1yZq,8,1176.9020380340517,1173.3017030321062,222.7617074176669,222.7617074176669
cVFeVe5uQ8K1yZq,9,1091.5700828339905,1083.633427998051,205.22965806350112,205.22965806350112
cVFeVe5uQ8K1yZq,10,1012.5540526397526,1011.0533190667629,187.51651655929163,186.79187977220863
cVFeVe5uQ8K1yZq,11,976.9888791162521,972.5118375290185,179.0397172421217,179.0397172421217
cVFeVe5uQ8K1yZq,12,925.6610951479524,922.8774988111109,158.04940504953265,156.83493872359395
cVFeVe5uQ8K1yZq,13,863.2011120822281,859.016905060038,136.31102852150798,134.37324903532863
cVFeVe5uQ8K1yZq,14,795.9357910864055,794.8129062764347,118.62878651171923,117.88938966952264
cVFeVe5uQ8K1yZq,15,770.7260983521119,768.781035923399,101.37390124052763,100.6861215159297
cVFeVe5uQ8K1yZq,16,710.0541394904722,708.6904672340024,75.5582404397428,74.89302721247077
cVFeVe5uQ8K1yZq,17,679.3480928726494,678.0571048446,61.06567544490099,61.06567544490099
cVFeVe5uQ8K1yZq,18,635.7724604485556,634.9778801081702,39.31007871226757,39.21814814404934
cVFeVe5uQ8K1yZq,19,613.0802345667034,611.8727544937283,50.14387201145291,50.14387201145291
cVFeVe5uQ8K1yZq,20,578.5699250629987,573.8624753213371,46.30768949538469,46.30768949538469
cVFeVe5uQ8K1yZq,21,553.0228602495627,551.5388552751974,44.9638908021152,44.9638908021152
cVFeVe5uQ8K1yZq,22,556.9329985259101,555.6642306325957,34.231603221502155,33.91335557540879
cVFeVe5uQ8K1yZq,23,543.5115983183496,539.9566730852239,37.850844794884324,37.67267085053027
cVFeVe5uQ8K1yZq,24,519.7506885323673,519.0774748120457,36.91437503695488,36.843913838267326
cVFeVe5uQ8K1yZq,25,507.7607172038406,505.70198639295995,37.66187215037644,37.66187215037644
cVFeVe5uQ8K1yZq,26,488.82403979217634,488.25000335555524,35.08022293448448,34.901752680540085
cVFeVe5uQ8K1yZq,27,487.7840571996494,487.66658318012196,33.57319129165262,33.57319129165262
cVFeVe5uQ8K1yZq,28,481.5855018408547,481.1029964895497,30.471393092680955,30.471393092680955
cVFeVe5uQ8K1yZq,29,479.5278058340773,476.9968373468146,30.155808195937425,30.005455986130983
cVFeVe5uQ8K1yZq,30,486.0324634006247,484.1435294849798,29.717574609443545,29.613246595487
cVFeVe5uQ8K1yZq,31,482.5399518554332,481.4666545932414,28.691997072426602,28.691997072426602
cVFeVe5uQ8K1yZq,32,484.8786006922601,482.99945703695994,24.1838142327033,24.1838142327033
cVFeVe5uQ8K1yZq,33,480.96301164253964,480.6686740569712,24.135594537248835,24.135594537248835
cVFeVe5uQ8K1yZq,34,481.0450249277055,477.8773374222219,22.867351161548868,22.867351161548868
cVFeVe5uQ8K1yZq,35,477.36845016200095,474.8201154889539,24.98069895617664,24.606016277335584
cVFeVe5uQ8K1yZq,36,483.6462684068829,482.35202390886843,24.652739504352212,24.652739504352212
cVFeVe5uQ8K1yZq,37,494.8562627257779,490.0446958662942,24.287782158702612,24.264630809426308
cVFeVe5uQ8K1yZq,38,498.89902914199047,497.3288116201293,26.26555350329727,26.15972092654556
cVFeVe5uQ8K1yZq,39,494.60490632173605,491.86999957379885,19.17091462458484,19.17091462458484
cVFeVe5uQ8K1yZq,40,499.2622311093728,498.65826201223535,18.454147906973958,18.454147906973958
cVFeVe5uQ8K1yZq,41,515.7733783804579,512.3218951009912,19.233382194302976,18.859113945625722
cVFeVe5uQ8K1yZq,42,509.2703141309321,508.51334339752793,20.32557133224327,20.32557133224327
cVFeVe5uQ8K1yZq,43,526.549200525973,523.4682329413481,20.678708989173174,20.678708989173174
cVFeVe5uQ8K1yZq,44,531.7399400537834,528.6294294362888,19.78886483516544,19.78886483516544
cVFeVe5uQ8K1yZq,45,546.5620393969584,543.3681979097892,23.7886013770476,23.7886013770476
cVFeVe5uQ8K1yZq,46,554.2999006881146,551.0042944335146,21.966681498102844,21.75613323133439
