step_no,qty,e_demand
1,600.0,100.0
2,501.5,1050.4851558990777
3,588.8199999332428,1390.0671093463898
4,518.6947999000549,910.8669029474258
5,485.0,702.4213199689984
6,510.2826416492462,713.09205455333
7,483.3703691959381,694.2443826422095
8,483.19800090789795,658.8553810548037
9,427.96735548973083,525.9164508655667
10,435.7458231449127,545.4932057135738
11,403.1197578907013,479.2214532978833
12,397.6225845813751,474.55162332672626
13,364.49038219451904,415.4489444633946
14,367.8152861595154,412.2097374899313
15,321.0,344.8232053279644
16,333.8818688392639,369.0096840900369
17,297.9219186306,313.8038418244105
18,301.40505719184875,308.8601937224157
19,274.3863558769226,274.3606966906227
20,278.7996287345886,279.15716629172675
21,292.5,295.3641028883576
22,277.5,272.85826918226667
23,263.0,258.366658079467
24,257.4536397457123,257.8098401094321
25,250.90083622932434,255.42937410390005
26,255.85531854629517,257.17224127819645
27,250.93779754638672,257.9473637752235
28,244.76690411567688,250.64727009343915
29,261.2721920013428,270.4541267773602
30,244.91655039787292,255.18929320690222
31,262.5,269.4813529092353
32,257.5,266.47829612670466
33,265.5,275.87305013730656
34,253.5,262.6914057970862
35,266.4266583919525,280.54452444054186
36,275.9204000234604,290.1207878207788
37,267.4504609107971,293.51425229676533
38,268.34145164489746,293.6831394326873
39,280.4594395160675,311.0884804636007
40,295.0,329.32096506575
41,271.4900208711624,301.7695159947034
42,304.3882257938385,362.14436173439026
43,292.3307960033417,328.4058626787737
44,313.88572454452515,387.1937303878367
45,303.31296026706696,370.244406349957
46,325.18897771835327,402.2555759353563
47,325.01422476768494,410.27338142320514
48,330.60020339488983,428.5428302772343
49,319.96002900600433,417.03983279224485
50,342.13416481018066,455.0394334702287
51,337.2907967567444,459.18280870851595
52,351.0320850610733,492.99500934129173
53,356.5973973274231,523.8154084631251
54,351.0840518474579,523.4715120196342
55,368.80739200115204,531.906362362206
56,364.5527949333191,575.775394205004
57,388.51559126377106,612.2049395926297
58,371.9175133705139,568.8121793046594
59,407.703262925148,643.6956064999104
60,412.37334048748016,668.3212225213647
61,425.70742774009705,714.7381743816659
62,429.13181924819946,742.3136099874973
63,436.93319594860077,771.4298667758703
64,454.606406211853,811.9409215524793
65,469.1633200645447,858.0094304531813
66,495.78917479515076,909.4963904470205
67,507.83146369457245,948.2534359395504
68,531.559712767601,978.4740478396416
69,539.296315073967,1011.9119071960449
70,547.116335272789,1021.5759255290031
71,570.3956867456436,1058.5669096708298
72,588.2795301675797,1170.432483524084
73,596.171848654747,1168.760716944933
74,631.5721369981766,1216.8466799855232
75,623.7061887979507,1246.1370278298855
76,632.4439798593521,1276.1597557663918
77,625.5412727594376,1307.4308385401964
78,679.1267634630203,1417.649952173233
79,683.6749116182327,1330.4432408213615
80,698.7701865434647,1446.8113315701485
81,707.8173326253891,1476.1470707654953
82,718.969456076622,1510.7969292998314
83,739.0710644721985,1587.621148109436
84,758.0996042490005,1656.9004564285278
85,772.0664329528809,1600.2445947527885
86,761.793254494667,1712.263603657484
87,781.0404354333878,1740.0102760791779
88,774.3910946846008,1784.664034485817
89,808.3340468406677,1794.3707057237625
90,854.4038007259369,2011.8732759952545
91,855.7108087539673,1979.0736439228058
92,875.7611963748932,1977.8637011051178
93,875.2244622707367,1958.9706865549088
94,907.0971784591675,1920.6485341191292
95,898.755678653717,1905.1490384340286
96,974.7843210697174,1946.3164465427399
97,912.8892204761505,1971.5231134295464
98,938.8220002651215,2102.009750723839
99,893.2124464511871,2129.8452323675156
100,925.7553899288177,2199.6754873991013
101,948.9094457626343,2140.218926668167
102,975.707581281662,2119.0796922445297
103,972.2274777889252,2008.066933274269
104,962.5082759857178,1989.349858045578
105,1027.9049472808838,2070.6032307744026
106,982.523092508316,1946.939657509327
107,995.2413971424103,2159.4445137381554
108,930.982340335846,2115.5961332321167
109,904.2601399421692,2194.0558220744133
110,908.4619891643524,2172.7115972042084
111,915.8970265388489,2047.7400515079498
112,912.6371622085571,2012.9780819416046
113,907.6272358894348,1957.1633939743042
