step_no,qty,e_demand
114,898.3034727573395,1913.1219246387482
115,871.457133769989,1848.098736166954
116,871.7588157653809,1838.6998122930527
117,870.5032801628113,1776.4653693437576
118,859.4188022613525,1907.0395542383194
119,844.2429502010345,1785.4585881233215
120,865.381500005722,1778.0762464404106
121,860.3977904319763,1722.9252978563309
122,847.7595200538635,1644.1261608600616
123,821.4963662624359,1584.8160852193832
124,850.9602336883545,1646.8486597537994
125,861.0721244812012,1568.8096962869167
126,829.8744196891785,1496.5738613009453
127,870.2123107910156,1615.8835023641586
128,822.8000733852386,1422.8790144771338
129,923.7775871753693,1636.7432246804237
130,881.5588970184326,1393.7144802361727
131,967.0846061706543,1745.6337198615074
132,900.5743124485016,1428.4486655294895
133,989.1177542209625,1654.1494156718254
134,971.1704125404358,1568.5635121911764
135,996.4959728717804,1702.4202122986317
136,968.7318050861359,1681.7806163430214
137,994.2069053649902,1769.2382089793682
138,986.9578859806061,1721.791386693716
139,1007.662436246872,1793.2675821483135
140,1018.2360596656799,1746.7251617312431
141,956.3305985927582,1760.2090794667602
142,1003.451908826828,1894.6586009860039
143,969.2347302436829,1839.7822625935078
144,970.9525632858276,1947.3150146231055
145,952.9639275074005,1880.0130469202995
146,985.4103326797485,1942.749571800232
147,976.3393793106079,1866.2754744887352
148,990.3235764503479,1933.9922296404839
149,993.7534227371216,1906.5728832483292
150,1002.1956522464752,1948.2499933242798
151,1033.6706898212433,2027.4698798656464
152,1016.6106173992157,1890.8402562439442
153,980.6159656047821,2039.1347119808197
154,966.4418399333954,2166.3276240825653
155,942.1530652046204,2000.9800661206245
156,942.9354767799377,1982.9029985666275
157,907.3652853965759,1932.8815710544586
158,900.8193717002869,2065.4248910546303
159,892.3880858421326,1953.649625658989
160,894.7024278640747,1890.2284666895866
