step_no,steps_id,capitalist_id,budget,wealth,human_wealth,spent_amount
92,706419181,B_0,0.273075,0.189609,0.256123,0.273075
93,780668896,B_0,0.189609,0.126436,0.250936,0.189609
94,506344572,B_0,0.126436,0.0,0.240898,0.126436
95,263126294,B_0,0.0,0.0388749,0.232817,0.0
96,26241026,B_0,0.0388749,0.0795759,0.226688,0.0388749
97,250907728,B_0,0.0795759,0.0,0.21762,0.0795759
98,975347563,B_0,0.0,0.219726,0.217704,0.0
99,370349904,B_0,0.219726,0.0806858,0.212224,0.219726
100,770587301,B_0,0.0806858,0.0,0.203735,0.0806858
101,123236053,B_0,0.0,0.357102,0.209869,0.0
102,531682961,B_0,0.227724,0.182426,0.203596,0.227724
103,297626660,B_0,0.182426,0.0,0.195453,0.182426
104,501189802,B_0,0.0,0.26313,0.19816,0.0
105,936196490,B_0,0.211316,0.0518138,0.190233,0.211316
106,759295622,B_0,0.0518138,0.259968,0.193023,0.0518138
107,481824696,B_0,0.206021,0.408178,0.199471,0.206021
108,526111930,B_0,0.21988,0.272662,0.194867,0.21988
109,930888996,B_0,0.2085,0.0680118,0.187226,0.2085
110,324898896,B_0,0.0680118,0.0,0.179737,0.0680118
111,337731648,B_0,0.0,0.235847,0.181981,0.0
112,428303700,B_0,0.193774,0.308223,0.185348,0.193774
113,767997388,B_0,0.200759,0.160405,0.180052,0.200759
114,700825137,B_0,0.160405,0.340386,0.186465,0.160405
115,122446044,B_0,0.203485,0.136902,0.179007,0.203485
116,544220234,B_0,0.136902,0.0,0.171846,0.136902
117,44916395,B_0,0.0,0.0552763,0.167184,0.0
118,698925040,B_0,0.0552763,0.311664,0.172963,0.0552763
119,428528552,B_0,0.188546,0.39842,0.177056,0.188546
120,419374822,B_0,0.196977,0.212654,0.170423,0.196977
121,497344451,B_0,0.181055,0.30447,0.174521,0.181055
122,324029879,B_0,0.189744,0.36524,0.17756,0.189744
123,274499089,B_0,0.195822,0.169418,0.170458,0.195822
124,267449656,B_0,0.169418,0.0,0.16364,0.169418
125,606872156,B_0,0.0,0.0688795,0.159849,0.0
126,529962655,B_0,0.0688795,0.0,0.153455,0.0688795
127,865130278,B_0,0.0,0.0922139,0.151006,0.0
128,272070957,B_0,0.0922139,0.0701686,0.147772,0.0922139
129,524321958,B_0,0.0701686,0.249699,0.151849,0.0701686
130,602356122,B_0,0.164334,0.614,0.166921,0.164334
131,351062884,B_0,0.197621,0.41638,0.160244,0.197621
132,717914850,B_0,0.181063,0.308247,0.156751,0.181063
133,23779752,B_0,0.172164,0.136084,0.150481,0.172164
134,800747734,B_0,0.136084,0.226769,0.153533,0.136084
135,815323743,B_0,0.164871,0.503681,0.165063,0.164871
136,618338225,B_0,0.190247,0.782962,0.177241,0.190247
137,196623339,B_0,0.216389,0.634953,0.172887,0.216389
138,659233028,B_0,0.204635,0.445395,0.166574,0.204635
139,824970210,B_0,0.188844,0.474181,0.168617,0.188844
140,71484380,B_0,0.192326,0.419056,0.16736,0.192326
141,481712033,B_0,0.188313,0.230743,0.160666,0.188313
142,981128203,B_0,0.172203,0.0585402,0.154239,0.172203
143,838032319,B_0,0.0585402,0.0738028,0.151022,0.0585402
144,949200155,B_0,0.0738028,0.0660558,0.147623,0.0738028
145,980628478,B_0,0.0660558,0.0,0.141718,0.0660558
146,166596355,B_0,0.0,0.250493,0.146069,0.0
147,109899500,B_0,0.158594,0.297207,0.148439,0.158594
148,262696849,B_0,0.163299,0.14531,0.142957,0.163299
149,743236936,B_0,0.14531,0.0572524,0.139529,0.14531
