step_no,equity,k_coef,k_intercept,c_coef,c_intercept,intresses,losses
38,5568.12,5.63138,-7.41605,2.71182,-6.04584,485.298,189.876
39,5641.06,5.45796,-7.31728,2.5451,-6.00176,475.037,383.862
40,5961.3,5.36427,-7.25451,2.44925,-6.01995,451.379,51.0696
41,5879.34,5.55098,-7.33058,1.73911,-5.98704,424.422,506.382
42,5869.52,5.61197,-7.34296,1.92573,-5.92181,421.327,431.153
43,5269.33,5.64223,-7.34513,2.42761,-5.82524,383.638,983.823
44,5548.89,5.37856,-7.20125,2.12512,-5.84783,368.236,18.7862
45,5801.06,5.52428,-7.23704,2.19749,-5.85981,354.962,39.755
46,5633.57,5.49769,-7.19903,2.30119,-5.7706,340.684,508.17
47,5281.95,5.46276,-7.16387,2.5945,-5.69501,334.049,685.675
48,5246.2,5.34273,-7.11076,2.28475,-5.7046,321.239,356.98
49,5157.99,5.32368,-7.05888,2.68842,-5.68281,303.237,391.454
50,5399.07,4.84818,-6.83927,2.78485,-5.69775,301.348,0.0
51,5298.03,4.97676,-6.85971,2.71246,-5.72228,288.85,389.887
52,5328.34,5.00627,-6.84784,2.17009,-5.79905,281.73,243.845
53,5389.1,4.93414,-6.79511,1.94928,-5.84105,270.868,194.916
54,4861.8,4.98622,-6.7905,2.31368,-5.69444,255.599,782.894
55,4771.01,4.92126,-6.74299,2.69955,-5.62271,245.83,336.622
56,4108.09,4.91059,-6.73607,3.0888,-5.5058,238.166,901.09
57,3814.28,4.84259,-6.68884,3.55111,-5.47017,225.708,519.517
58,3277.55,4.64094,-6.60929,3.97922,-5.43263,208.216,744.948
59,3092.04,4.58141,-6.57274,3.81402,-5.39685,201.041,386.546
60,3122.73,4.54746,-6.5596,3.77976,-5.37641,199.237,160.878
61,2728.71,4.42097,-6.49915,3.67497,-5.34043,187.989,582.01
62,2608.17,4.47481,-6.49399,3.36646,-5.309,183.38,303.913
63,2536.02,4.38679,-6.46004,3.04332,-5.3233,178.683,250.835
64,2140.49,4.2336,-6.40722,3.40412,-5.24036,165.826,561.355
65,1768.91,3.82032,-6.32285,3.88476,-5.21689,156.553,528.139
66,1535.91,3.58359,-6.28201,3.76725,-5.1944,151.977,384.973
67,1384.07,3.81308,-6.28848,3.91116,-5.20015,145.236,297.075
68,1136.15,3.87571,-6.29805,4.20999,-5.17413,138.02,385.946
69,1126.97,3.44779,-6.26506,3.76494,-5.22343,134.867,144.047
70,1228.14,3.7336,-6.28162,3.10912,-5.30937,132.548,6.07646
71,838.411,3.52111,-6.27452,3.40597,-5.24925,119.532,509.264
72,843.015,3.24105,-6.26227,3.13513,-5.26283,117.495,111.741
73,935.402,3.50875,-6.27348,2.21496,-5.4669,116.187,0.702844
74,839.461,3.75478,-6.29897,2.47195,-5.34835,110.926,206.867
75,704.222,3.73479,-6.29471,3.05193,-5.19183,103.282,238.521
76,787.438,3.94666,-6.31779,1.75738,-5.54245,104.084,0.064495
77,742.934,4.36407,-6.39106,1.75003,-5.53651,99.8511,144.355
78,807.609,4.53276,-6.42048,1.76648,-5.53356,99.5579,18.7133
79,690.474,4.65481,-6.43461,1.67155,-5.51456,93.1281,210.264
80,490.909,4.61715,-6.42788,1.6277,-5.50257,88.5683,288.134
81,530.601,4.70986,-6.442,1.64022,-5.50035,87.069,37.4543
82,574.572,4.91705,-6.47332,1.32267,-5.67791,87.6964,32.7318
83,342.323,4.84012,-6.44896,2.25755,-5.24044,79.6168,311.866
84,383.811,5.18172,-6.54297,1.72193,-5.49768,79.3225,27.4627
85,249.903,5.38842,-6.59233,1.61063,-5.48068,72.8938,206.802
86,300.624,5.56611,-6.62057,1.62587,-5.47811,73.2921,9.8908
87,151.189,5.5829,-6.62662,2.10974,-5.19637,68.7602,218.196
88,73.3156,5.6186,-6.60943,1.42705,-5.44483,63.2767,141.15
89,24.9674,5.59059,-6.59351,1.73976,-5.29456,61.5185,109.867
90,-50.1745,5.79669,-6.6336,1.44063,-5.43751,57.4804,132.622
