step_no,step_id,cf_id,liquidity,price,equity,debt,profit,production,sales,queue,expected_demand,intresses,labour_demand,lmbda,loans,staff,first_step,capital,capital_avg,invested,planned_production,planned_investment,wage_bill,investment_cost,capital_book,desired_capital
11,506439062,C_0,13.7284,5.57897,58.8841,27.8588,-11.2217,4.5,3.98003e-17,0.0,4.52284,0.686418,0.0456718,0.169454,"[{""amount"": 5.131499210861687, ""rate"": 0.023407254804442168}, {""amount"": 1.0564926621482373, ""rate"": 0.023407254804442168}, {""amount"": 3.6167358570920634, ""rate"": 0.023407254804442168}, {""amount"": 8.343968665091236, ""rate"": 0.023407254804442168}, {""amount"": 9.71005925774984, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1392"", ""W_1116"", ""W_2435"", ""W_2782"", ""W_187"", ""W_2874"", ""W_221""]",0,27.2274,16.0103,0.0,4.52284,0.0,9.0,0.0,73.0145,18.8357,0.493936
12,181691712,C_0,13.2856,5.57445,59.8893,26.4658,0.924696,0.5,0.5,1.05858,0.452284,0.652097,0.0,0.172895,"[{""amount"": 4.874924250318602, ""rate"": 0.023407254804442168}, {""amount"": 1.0036680290408255, ""rate"": 0.023407254804442168}, {""amount"": 3.4358990642374603, ""rate"": 0.023407254804442168}, {""amount"": 7.926770231836674, ""rate"": 0.023407254804442168}, {""amount"": 9.224556294862348, ""rate"": 0.023407254804442168}]","[""W_2874""]",0,27.1974,14.7619,0.0,0.452284,0.0,1.0,0.0,72.8845,17.367,0.0498839
13,20184474,C_0,11.1419,5.57445,58.8866,25.1425,-0.979121,1.0,0.32273,0.0,1.44795,0.619492,0.895895,0.165287,"[{""amount"": 4.631178037802672, ""rate"": 0.023407254804442168}, {""amount"": 0.9534846275887843, ""rate"": 0.023407254804442168}, {""amount"": 3.264104111025587, ""rate"": 0.023407254804442168}, {""amount"": 7.53043172024484, ""rate"": 0.023407254804442168}, {""amount"": 8.763328480119231, ""rate"": 0.023407254804442168}]","[""W_2874"", ""W_1433""]",0,27.1373,9.72117,0.0,1.44795,0.0,2.0,0.0,72.8872,11.4367,0.159875
14,216665857,C_0,10.7771,5.32009,59.8631,23.8854,0.895878,0.5,0.5,5.5072,0.435252,0.588518,0.0,0.158203,"[{""amount"": 4.3996191359125385, ""rate"": 0.023407254804442168}, {""amount"": 3.100898905474308, ""rate"": 0.023407254804442168}, {""amount"": 7.153910134232598, ""rate"": 0.023407254804442168}, {""amount"": 8.32516205611327, ""rate"": 0.023407254804442168}, {""amount"": 0.9058103962093451, ""rate"": 0.023407254804442168}]","[""W_1433""]",0,27.1073,6.36209,0.0,0.435252,0.0,1.0,0.0,72.7922,7.48481,0.0481648
15,179193222,C_0,22.9359,5.32896,75.1883,22.9029,14.6954,5.0,5.0,1.00149,5.45001,0.564365,0.900017,0.152636,"[{""amount"": 4.179638179116911, ""rate"": 0.023407254804442168}, {""amount"": 2.9458539602005924, ""rate"": 0.023407254804442168}, {""amount"": 6.7962146275209685, ""rate"": 0.023407254804442168}, {""amount"": 7.908903953307606, ""rate"": 0.023407254804442168}, {""amount"": 0.8605198763988778, ""rate"": 0.023407254804442168}, {""amount"": 0.21172565263070756, ""rate"": 0.023661632297606053}]","[""W_1433"", ""W_1076"", ""W_1999"", ""W_1956"", ""W_2432"", ""W_1414"", ""W_1835"", ""W_1579"", ""W_207"", ""W_2507""]",0,26.807,12.2009,0.0,5.45001,0.0,10.0,0.0,72.2161,14.354,0.603763
16,349685411,C_0,20.3834,5.63099,70.0181,21.7577,-3.12186,5.5,1.79876,0.0,5.94634,0.536147,0.892689,0.135391,"[{""amount"": 3.970656270161066, ""rate"": 0.023407254804442168}, {""amount"": 2.798561262190563, ""rate"": 0.023407254804442168}, {""amount"": 6.45640389614492, ""rate"": 0.023407254804442168}, {""amount"": 7.513458755642225, ""rate"": 0.023407254804442168}, {""amount"": 1.018633252578106, ""rate"": 0.023457484196215368}]","[""W_1433"", ""W_1076"", ""W_1999"", ""W_1956"", ""W_2432"", ""W_1414"", ""W_1835"", ""W_1579"", ""W_207"", ""W_2507"", ""W_1952""]",0,26.4767,15.1117,0.0,5.94634,0.0,11.0,0.0,71.3923,17.7785,0.666128
17,96269624,C_0,21.0649,5.49044,71.8573,20.6698,1.43335,2.5,1.37791,0.0,2.21352,0.50934,0.0,0.132194,"[{""amount"": 3.772123456653013, ""rate"": 0.023407254804442168}, {""amount"": 2.658633199081035, ""rate"": 0.023407254804442168}, {""amount"": 6.133583701337674, ""rate"": 0.023407254804442168}, {""amount"": 7.137785817860114, ""rate"": 0.023407254804442168}, {""amount"": 0.9677015899492007, ""rate"": 0.023457484196215368}]","[""W_1433"", ""W_1999"", ""W_207"", ""W_2507"", ""W_1952""]",0,26.3265,15.8141,0.0,2.21352,0.0,5.0,0.0,71.1757,18.6048,0.251059
18,286542150,C_0,23.3851,4.96606,74.8702,19.6363,3.05743,1.5,1.5,10.7033,1.46147,0.483873,0.0,0.125316,"[{""amount"": 3.5835172838203624, ""rate"": 0.023407254804442168}, {""amount"": 2.5257015391269833, ""rate"": 0.023407254804442168}, {""amount"": 5.82690451627079, ""rate"": 0.023407254804442168}, {""amount"": 6.780896526967108, ""rate"": 0.023407254804442168}, {""amount"": 0.9193165104517407, ""rate"": 0.023457484196215368}]","[""W_1433"", ""W_207"", ""W_2507""]",0,26.2364,11.6608,0.0,1.46147,0.0,3.0,0.0,70.51,13.7186,0.166706
19,737781053,C_0,39.9745,5.02096,92.8726,20.6087,17.5566,6.5,6.5,2.68761,11.1291,0.507828,0.0,0.128385,"[{""amount"": 3.4043414196293442, ""rate"": 0.023407254804442168}, {""amount"": 2.399416462170634, ""rate"": 0.023407254804442168}, {""amount"": 5.535559290457251, ""rate"": 0.023407254804442168}, {""amount"": 6.441851700618753, ""rate"": 0.023407254804442168}, {""amount"": 0.8733506849291537, ""rate"": 0.023457484196215368}, {""amount"": 1.9541628940021027, ""rate"": 0.023407254804442168}]","[""W_1433"", ""W_207"", ""W_2507"", ""W_2689"", ""W_2580"", ""W_1887"", ""W_2503"", ""W_2241"", ""W_28"", ""W_1896"", ""W_639"", ""W_1243"", ""W_1919""]",0,25.846,24.1537,0.0,11.1291,2.74802,13.0,7.4421,69.9954,28.4161,0.166706
20,458045973,C_0,42.6359,5.20444,112.097,19.5782,33.8525,8.5,7.77263,0.0,9.38177,0.482437,0.213455,0.113141,"[{""amount"": 3.2341243486478772, ""rate"": 0.023407254804442168}, {""amount"": 2.2794456390621023, ""rate"": 0.023407254804442168}, {""amount"": 5.258781325934389, ""rate"": 0.023407254804442168}, {""amount"": 6.119759115587815, ""rate"": 0.023407254804442168}, {""amount"": 1.8564547493019976, ""rate"": 0.023407254804442168}, {""amount"": 0.829683150682696, ""rate"": 0.023457484196215368}]","[""W_1433"", ""W_207"", ""W_2507"", ""W_2689"", ""W_2580"", ""W_1887"", ""W_2503"", ""W_2241"", ""W_28"", ""W_1896"", ""W_639"", ""W_1243"", ""W_1919"", ""W_1156"", ""W_2379"", ""W_2287"", ""W_984""]",0,30.208,25.8721,12.5074,9.38177,5.20045,17.0,14.1629,82.2685,30.4377,0.166706
